Num,S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
791,3,Piramal Healthcare,Calaptin (80 mg),Tablet    ,1 Tablet,Verapamil-80 mg,10 Tablet,12.4,1.24
792,4,Torrent Pharmaceuticals Ltd.,Vasopten (80 mg),Tablet    ,1 Tablet,Verapamil-80 mg,10 Tablet,14.03,1.4
793,5,Mano (Orchid Chemicals & Pharmaceuticals Ltd.),Verap (80 mg),Tablet    ,1 Tablet,Verapamil-80 mg,10 Tablet,19,1.9
794,1,Torrent Pharmaceuticals Ltd.,Vasopten (120 mg),Tablet    ,1 Tablet,Verapamil-120 mg,10 Tablet,17.38,1.74
795,2,Piramal Healthcare,Calaptin SR (120 mg),Tablet    ,1 Tablet,Verapamil-120 mg,10 Tablet,20.43,2.04
796,1,Revilon (Celon Labs),Celovera (5 mg),Injection    ,1 ml,Verapamil-2.5 mg,2 ml,2.2,1.1
797,2,Neon Laboratories Ltd,Verobles (2.5 mg),Injection    ,1 ml,Verapamil-2.5 mg,1 ml,8.23,8.23
798,1,Fulford (India) Ltd.,Tinaderm (Skin) (10 gm),Cream   ,1 gm,Tolnaftate-10 mg,10 gm,11.42,1.14
799,2,Dabur India Ltd,Tinavate (Skin) (10 gm),Cream   ,10 gm,Tolnaftate-10 mg,10 gm,11.9,11.9
800,3,Jagsonpal Pharmaceuticals Ltd,Tolsol (Skin) (10 ml),Solution    ,1 ml,Tolnaftate-10 mg,10 ml,14.51,1.45
801,4,BPL Pharmaceuticals (P) Ltd.,Tanacidal (Skin) (10 ml),Solution    ,10 ml,Tolnaftate-10 mg,10 ml,17.27,17.27
802,5,Fulford (India) Ltd.,Tinaderm (Skin) (20 ml),Lotion    ,1 ml,Tolnaftate-10 mg,20 ml,9.64,0.48
803,6,Dabur India Ltd,Tinavate (Skin) (10 ml),Lotion    ,10 ml,Tolnaftate-10 mg,10 ml,15.39,15.39
804,1,Fulford (India) Ltd.,Tinaderm (Skin) (10 gm),Cream   ,1 gm,Tolnaftate-10 mg,10 gm,11.42,1.14
805,2,Dabur India Ltd,Tinavate (Skin) (10 gm),Cream   ,10 gm,Tolnaftate-10 mg,10 gm,11.9,11.9
806,3,Jagsonpal Pharmaceuticals Ltd,Tolsol (Skin) (10 ml),Solution    ,1 ml,Tolnaftate-10 mg,10 ml,14.51,1.45
807,4,BPL Pharmaceuticals (P) Ltd.,Tanacidal (Skin) (10 ml),Solution    ,10 ml,Tolnaftate-10 mg,10 ml,17.27,17.27
808,5,Fulford (India) Ltd.,Tinaderm (Skin) (20 ml),Lotion    ,1 ml,Tolnaftate-10 mg,20 ml,9.64,0.48
809,6,Dabur India Ltd,Tinavate (Skin) (10 ml),Lotion    ,10 ml,Tolnaftate-10 mg,10 ml,15.39,15.39
810,1,Stallion Laboratories Pvt Ltd,E Guard (134 mg),Tablet    ,1 Tablet,Vit E-134 mg,10 Tablet,60.5,6.05
811,2,Neo Pharma.,Covita (134 mg),Capsule    ,1 Capsule,Vit E-134 mg ,10 Capsule,16.62,1.66
812,3,American Remedies Limited.,Bio 8888 (134 mg),Capsule    ,1 Capsule,Vit E-134 mg,150 Capsule,435,2.9
813,4,Mano (Orchid Chemicals & Pharmaceuticals Ltd.),Monovit EN (134 mg),Capsule    ,1 Capsule,Vit E-134 mg,10 Capsule,32,3.2
814,5,Macleods Pharmaceuticals Pvt Ltd.,Ensules (134 mg),Capsule    ,1 Capsule,Vit E-134 mg,10 Capsule,34,3.4
815,6,Elder Pharmaceuticals Pvt Ltd,Edge (134 mg),Capsule    ,1 Capsule,Vit E-134 mg,10 Capsule,38,3.8
816,7,Franco-Indian Pharmaceuticals Pvt. Ltd.,Natvie (134 mg),Capsule    ,1 Capsule,Vit E-134 mg,10 Capsule,41.7,4.17
817,1,Fulford (India) Ltd.,Tinaderm (Skin) (10 gm),Cream   ,1 gm,Tolnaftate-10 mg,10 gm,11.42,1.14
818,2,Dabur India Ltd,Tinavate (Skin) (10 gm),Cream   ,10 gm,Tolnaftate-10 mg,10 gm,11.9,11.9
819,3,Jagsonpal Pharmaceuticals Ltd,Tolsol (Skin) (10 ml),Solution    ,1 ml,Tolnaftate-10 mg,10 ml,14.51,1.45
820,4,BPL Pharmaceuticals (P) Ltd.,Tanacidal (Skin) (10 ml),Solution    ,10 ml,Tolnaftate-10 mg,10 ml,17.27,17.27
821,5,Fulford (India) Ltd.,Tinaderm (Skin) (20 ml),Lotion    ,1 ml,Tolnaftate-10 mg,20 ml,9.64,0.48
822,6,Dabur India Ltd,Tinavate (Skin) (10 ml),Lotion    ,10 ml,Tolnaftate-10 mg,10 ml,15.39,15.39
823,1,Fulford (India) Ltd.,Tinaderm (Skin) (10 gm),Cream   ,1 gm,Tolnaftate-10 mg,10 gm,11.42,1.14
824,2,Dabur India Ltd,Tinavate (Skin) (10 gm),Cream   ,10 gm,Tolnaftate-10 mg,10 gm,11.9,11.9
825,3,Jagsonpal Pharmaceuticals Ltd,Tolsol (Skin) (10 ml),Solution    ,1 ml,Tolnaftate-10 mg,10 ml,14.51,1.45
826,4,BPL Pharmaceuticals (P) Ltd.,Tanacidal (Skin) (10 ml),Solution    ,10 ml,Tolnaftate-10 mg,10 ml,17.27,17.27
827,5,Fulford (India) Ltd.,Tinaderm (Skin) (20 ml),Lotion    ,1 ml,Tolnaftate-10 mg,20 ml,9.64,0.48
828,6,Dabur India Ltd,Tinavate (Skin) (10 ml),Lotion    ,10 ml,Tolnaftate-10 mg,10 ml,15.39,15.39
829,1,Fulford (India) Ltd.,Tinaderm (Skin) (10 gm),Cream   ,1 gm,Tolnaftate-10 mg,10 gm,11.42,1.14
830,2,Dabur India Ltd,Tinavate (Skin) (10 gm),Cream   ,10 gm,Tolnaftate-10 mg,10 gm,11.9,11.9
831,3,Jagsonpal Pharmaceuticals Ltd,Tolsol (Skin) (10 ml),Solution    ,1 ml,Tolnaftate-10 mg,10 ml,14.51,1.45
832,4,BPL Pharmaceuticals (P) Ltd.,Tanacidal (Skin) (10 ml),Solution    ,10 ml,Tolnaftate-10 mg,10 ml,17.27,17.27
833,5,Fulford (India) Ltd.,Tinaderm (Skin) (20 ml),Lotion    ,1 ml,Tolnaftate-10 mg,20 ml,9.64,0.48
834,6,Dabur India Ltd,Tinavate (Skin) (10 ml),Lotion    ,10 ml,Tolnaftate-10 mg,10 ml,15.39,15.39
835,1,Fulford (India) Ltd.,Tinaderm (Skin) (10 gm),Cream   ,1 gm,Tolnaftate-10 mg,10 gm,11.42,1.14
836,2,Dabur India Ltd,Tinavate (Skin) (10 gm),Cream   ,10 gm,Tolnaftate-10 mg,10 gm,11.9,11.9
837,3,Jagsonpal Pharmaceuticals Ltd,Tolsol (Skin) (10 ml),Solution    ,1 ml,Tolnaftate-10 mg,10 ml,14.51,1.45
838,4,BPL Pharmaceuticals (P) Ltd.,Tanacidal (Skin) (10 ml),Solution    ,10 ml,Tolnaftate-10 mg,10 ml,17.27,17.27
839,5,Fulford (India) Ltd.,Tinaderm (Skin) (20 ml),Lotion    ,1 ml,Tolnaftate-10 mg,20 ml,9.64,0.48
840,6,Dabur India Ltd,Tinavate (Skin) (10 ml),Lotion    ,10 ml,Tolnaftate-10 mg,10 ml,15.39,15.39
841,1,Acichem Laboratories,Dexamethasone (0.5 mg) (Acichem Labs),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,1000 Tablet,100,0.1
842,2,Generic (Cadila Pharmaceuticals Ltd.),Dexamethasone (0.5 mg) (Generic),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,200 Tablet,30.58,0.15
843,3,Sanjivani Parenteral Ltd,Dexamethasone (0.5 mg) (Sanjivani Parenteral),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,1000 Tablet,153.84,0.15
844,4,Kentreck Labs Pvt Ltd.,Dexaken (0.5 mg),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,10 Tablet,1.7,0.17
845,5,Jan Aushadhi,Dexamethasone 0.5 mg (Jan Aushadhi),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,10 Tablet,1.86,0.19
846,6,Allied Chemicals & Pharmaceuticals Pvt.Ltd.,Dexalide (0.5 mg),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,10 Tablet,1.94,0.19
847,7,Bini Laboratories Pvt Ltd,Dexamethasone (0.5 mg) (Bini Laboratories),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,10 Tablet,2,0.2
848,8,Cipla Limited,Dexacip (0.5 mg),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,100 Tablet,20.78,0.21
849,9,Merind Ltd (Wockhardt Ltd),Decdan (0.5 mg),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,10 Tablet,2.08,0.21
850,10,Cadila Healthcare Ltd (Zydus Cadila Healthcare Ltd),Dexona (0.5 mg),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,10 Tablet,2.14,0.21
851,11,Cadila Pharmaceuticals Ltd.,Dexasone (0.5 mg),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,10 Tablet,2.15,0.22
852,12,Genvista (Cadila Pharmaceuticals Ltd.),Demisone (0.5 mg),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,10 Tablet,2.15,0.22
853,13,Wyeth Ltd.,Wymesone (0.5 mg),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,10 Tablet,2.18,0.22
854,14,Kentreck Labs Pvt Ltd.,Betaken (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,2.2,0.22
855,15,Baroda Pharma Pvt Ltd,Dexamine (0.5 mg),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,200 Tablet,44.6,0.22
856,16,Indian Drugs & Pharmaceuticals Ltd.,Idizone (0.5 mg),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,10 Tablet,2.39,0.24
857,17,Merind Ltd (Wockhardt Ltd),Decdakst (0.5 mg),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,10 Tablet,2.82,0.28
858,18,Galpha Laboratories Ltd.,Decicort (0.5 mg),Tablet    ,1 Tablet,Dexamethasone Phosphate-0.5 mg,10 Tablet,3,0.3
859,19,Shalaks Pharmaceuticals Pvt. Ltd.,Dexamag (0.5 mg),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,10 Tablet,3,0.3
860,20,East African (I) Remedies Pvt Ltd,Dexariv (0.5 mg),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,100 Tablet,30,0.3
861,21,Merind Ltd (Wockhardt Ltd),Decdak ST (0.5 mg),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,10 Tablet,3.15,0.32
862,22,Acron Pharmaceuticals,Dexacron (0.5 mg),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,200 Tablet,65,0.33
863,23,Fulford (India) Ltd.,Celestone (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,3.27,0.33
864,24,Glaxo Smithkline Pharmaceuticals Ltd.,Betnesol (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,20 Tablet,6.68,0.33
865,25,Cipla Limited,Betnecip (0.5 mg) (Oval Tab),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,3.4,0.34
866,26,Cipla Limited,Betnecip (0.5 mg) (Round Tab),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,3.4,0.34
867,27,Raddison Health Care Pvt Ltd,Catrisol (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,1000 Tablet,350,0.35
868,28,Wallace Pharmaceuticals Ltd.,Walacort (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,3.55,0.36
869,29,Aronex Life Sciences Pvt. Ltd.,Betnecip (0.5 mg) (Aronex Life Science),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,3.57,0.36
870,30,Ind-Swift Limited,Stemin (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,3.57,0.36
871,31,Cipla Limited,Betnecip (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,3.59,0.36
872,32,Medopharm,Betsone (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,20 Tablet,7.18,0.36
873,33,Rax Health Care Pvt. Ltd.,Betarax (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,3.6,0.36
874,34,Innovative Pharmaceuticals,Betnedac (0.5 mg),Tablet    ,1 Tablet,Betamethasone Sodium Phosphate-0.5 mg ,10 Tablet,3.6,0.36
875,35,Sunij Pharma Pvt Ltd,Betanij (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,3.63,0.36
876,36,Bestochem Formulations (India) Ltd.,Betawin Forte (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,3.7,0.37
877,37,Cyper Pharma,Cypasol (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,500 Tablet,190,0.38
878,38,Kentreck Labs Pvt Ltd.,Betastek (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,3.82,0.38
879,39,Zydus Cadila Healthcare Ltd,Dexona Forte (0.5 mg),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,10 Tablet,3.82,0.38
880,40,Lupin Laboratories Ltd.,Solubet (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,3.88,0.39
881,41,Allied Chemicals & Pharmaceuticals Pvt.Ltd.,Betalide (0.5 mg),Tablet    ,1 Tablet,Betamethasone Sodium Phosphate-0.5 mg,10 Tablet,3.88,0.39
882,42,Cipla Limited,Betnecort (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,3.93,0.39
883,43,Glaxo Smithkline Pharmaceuticals Ltd.,Betnelan (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,3.96,0.4
884,44,Comed Chemicals Pvt Ltd,Belar (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,3.96,0.4
885,45,Casca Remedies Pvt Ltd.,Ascort (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,4,0.4
886,46,Healing Touch Pharmaceuticals,Hiclor (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,4,0.4
887,47,South India Research Institute Pvt Ltd,Histacort B (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,4,0.4
888,48,Overseas Health Care Pvt. Ltd.,Betacort (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,4,0.4
889,49,Pharma Synth Formulations Ltd.,Betaphos (0.5 mg),Tablet    ,1 Tablet,Betamethasone Sodium Phosphate-0.5 mg,10 Tablet,4,0.4
890,50,Franklin Laboratories (P) Ltd.,Betachlor (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,4,0.4
891,51,Lark Laboratories (India) Ltd.,Betlar S (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,4,0.4
892,52,Suzikem Drugs Pvt. Ltd.,Betastamine (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,4,0.4
893,53,Lark Laboratories (India) Ltd.,Betalar (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,100 Tablet,40.35,0.4
894,54,Bestochem Formulations (India) Ltd.,Betawin S (0.5 mg),Tablet    ,1 Tablet,Betamethasone Sodium-0.5 mg,10 Tablet,4.05,0.41
895,55,Eden Healthcare,Densol (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,250 Tablet,102,0.41
896,56,Elikem Pharmaceuticals Pvt. Ltd.,Aller B (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,4.3,0.43
897,57,Unimarck Pharma (India) Limited,Betamine (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,4.5,0.45
898,58,Kim Laboratories Pvt Ltd.,Alerkim (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,20 Tablet,9,0.45
899,59,Alicon Pharmaceuticals Pvt. Ltd.,Betacon (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,4.5,0.45
900,60,Pfizer Limited (Pharmacia India Pvt Ltd),Betacortril (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,4.64,0.46
901,61,Active Healthcare,Acticard (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,4.9,0.49
902,62,East African (I) Remedies Pvt Ltd,Betariv (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,4.9,0.49
903,63,Synokem Pharmaceuticals Ltd,Syncort (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,4.95,0.5
904,64,Talent Laboratories,Sterodin B (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,200 Tablet,100,0.5
905,65,Acron Pharmaceuticals,A Cort (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,5,0.5
906,66,Mefro Pharmaceuticals Pvt Ltd,Beta (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,6,0.6
907,67,Vishnu Natural Herbs (P) Ltd,D Cort (0.5 mg),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,300 Tablet,180,0.6
908,68,Aan Pharma Pvt Ltd,Steroin (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,6,0.6
909,69,Perk Pharmaceuticals Ltd.,Solubin (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,6.2,0.62
910,70,Rhombus Pharma Private Limited,Zobet (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,100 Tablet,62,0.62
911,71,Medicot Plus,Karbet (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,30 Tablet,21,0.7
912,72,Micro Labs Ltd,Cortil (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,7.09,0.71
913,73,Pramukh Swami Pharma Ltd.,Betasole (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,8,0.8
914,74,Agron Remedies Pvt Ltd (Agrogem),Betaron (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,100 Tablet,312,3.12
915,75,Lupin Laboratories Ltd.,Solubet (Eye) (10 ml),Drop    ,1 ml,Betamethasone-0.5 mg,10 ml,4.99,0.5
916,76,Zydus Alidac (Zydus Cadila Healthcare Ltd),Dexona Drops (Eye),Drop    ,1 ml,Dexamethasone-0.5 mg,10 ml,6.92,0.69
917,77,Glaxo Smithkline Pharmaceuticals Ltd.,Betnesol (E/E) (15 ml),Drop    ,1 ml,Betamethasone-0.5 mg,15 ml,11,0.73
918,78,Eden Healthcare,Densol Oral (10 ml),Drop    ,1 ml,Betamethasone-0.5 mg,10 ml,9,0.9
919,79,Acron Pharmaceuticals,Dexacron Oral (Eye),Drop    ,1 ml,Dexamethasone-0.5 mg,10 ml,10,1
920,80,Fulford (India) Ltd.,Celestone (10 ml),Drop    ,1 ml,Betamethasone-0.5 mg,10 ml,15.72,1.57
921,81,Lark Laboratories (India) Ltd.,Betalar (15 ml),Drop    ,5 ml,Betamethasone-0.5 mg,15 ml,10.3,3.43
922,82,Densa Pharmaceuticals Pvt.Ltd.,Becort (15 ml),Drop    ,15 ml,Betamethasone-0.5 mg,15 ml,8.34,8.34
923,83,Glaxo Smithkline Pharmaceuticals Ltd.,Betnelan (15 ml),Drop    ,15 ml,Betamethasone-0.5 mg,15 ml,10,10
924,84,Ind-Swift Limited,Stemin (15 ml),Drop    ,15 ml,Betamethasone-0.5 mg,15 ml,10.28,10.28
925,85,Ceza Formulations Pvt.Ltd,Betalon (15 ml),Drop    ,15 ml,Betamethasone-0.5 mg,15 ml,15.2,15.2
926,86,Rax Health Care Pvt. Ltd.,Betarax Inj (0.5 mg),Injection    ,1 ml,Betamethasone-0.5 mg,1 ml,4.73,4.73
927,1,Sun Pharmaceutical Industries Ltd.,OD Phyllin (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,6.9,0.69
928,2,Zee Laboratories Ltd,Phyne (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,28,2.8
929,3,Protec (Cipla Ltd),Theoday (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,28.78,2.88
930,4,Obsurge Biotech Limited,Phylin 1 (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,29.5,2.95
931,5,Kee Pharma Ltd.,THP 1 SR (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,29.8,2.98
932,6,Tas Med (I) Pvt. Ltd.,Theotas (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,30,3
933,7,Mefro Pharmaceuticals Pvt Ltd,Theopin CR (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,35,3.5
934,8,Indosurge Biotech,Asma-OD (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,100 Tablet,390,3.9
935,9,Emcee Pharmaceuticals Pvt.Ltd.,Onimar (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,40,4
936,10,Strassenburg Pharmaceuticals Ltd.,Lontif CR (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,40,4
937,11,Olcare Laboratories,Klon T (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,40,4
938,12,Bestochem Formulations (India) Ltd.,TSR (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,43.9,4.39
939,13,Life Medicare & Biotech Pvt. Ltd.,Theoresp (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,44,4.4
940,14,Wockhardt Ltd.,Phyloday (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,45,4.5
941,15,Captab Biotec,E Fin (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,45,4.5
942,16,Ind-Swift Limited,Delin (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,47.5,4.75
943,17,Intra Labs India Pvt Ltd,Theophylline (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,48,4.8
944,18,Invision Medi Sciences,Theofil SR (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,50,5
945,19,Arrowin Pharmaceuticals,Zvtho (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,100 Tablet,558,5.58
946,20,Globus Remedies Ltd,Theobus (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,62,6.2
947,21,Kresp (Kopran Pharma Ltd),Vent T (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,68,6.8
948,22,Modi Mundi Pharma Ltd.,Unicontin E (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,95,9.5
949,23,Inventure (Intra Labs India Pvt Ltd),Theofil (400 mg),Capsule    ,1 Capsule,Theophylline-400 mg,10 Capsule,49.9,4.99
950,24,Raptakos Brett & Co. Ltd.,Duralyn CR (400 mg),Capsule    ,1 Capsule,Theophylline-400 mg,10 Capsule,53,5.3
951,1,Gratia (Micro Labs Ltd),Betagel (Skin) (15 gm),Cream   ,15 gm,Betamethasone-0.05%,15 gm,9.69,9.69
952,2,Dermocare Laboratories (Guj) Pvt Ltd,Betaderm (Skin) (10 gm),Cream   ,10 gm,Betamethasone-0.05%,10 gm,29,29
953,3,Gary Pharmaceuticals Pvt. Ltd.,Betanex (20 gm),Cream   ,20 gm,Betamethasone-0.05%,20 gm,29.7,29.7
954,4,Fulford (India) Ltd.,Diprovate (Skin) (16 gm) (Fulford),Cream   ,16 gm,Betamethasone-0.05%,16 gm,33.6,33.6
955,5,Croslands (Ranbaxy Laboratories Ltd,Diprovate (Skin) (16 gm) (Croslands),Cream   ,16 gm,Betamethasone-0.05%,16 gm,33.6,33.6
956,6,Dermocare Laboratories (Guj) Pvt Ltd,Betaderm (Skin) (20 gm),Cream   ,20 gm,Betamethasone-0.05%,20 gm,38,38
957,7,Gratia (Micro Labs Ltd),Betagel (Skin) (20 gm),Gel    ,20 gm,Betamethasone-0.05%,20 gm,10.67,10.67
958,8,Gary Pharmaceuticals Pvt. Ltd.,Dermonate,Gel    ,20 gm,Betamethasone-0.05%,20 gm,42,42
959,9,Dermocare Laboratories (Guj) Pvt Ltd,Pronate (Skin) (15 ml),Solution    ,15 ml,Betamethasone-0.05%,15 ml,22,22
960,10,Croslands (Ranbaxy Laboratories Ltd,Diprovate (Skin) (30 ml) (Croslands),Lotion    ,30 ml,Betamethasone-0.05%,30 ml,40.75,40.75
961,11,Fulford (India) Ltd.,Diprovate (Skin) (30 ml),Lotion    ,30 ml,Betamethasone-0.05%,30 ml,40.75,40.75
962,12,Fulford (India) Ltd.,Diprovate (Skin) (50 ml),Lotion    ,50 ml,Betamethasone-0.05%,50 ml,97,97
963,13,H&H Pharmaceuticals Pvt Ltd,Propynate (Skin) (50 ml),Lotion    ,50 ml,Betamethasone-0.05% ,50 ml,114.95,114.95
964,1,Torrent Pharmaceuticals Ltd.,Tocofer (400 mg),Capsule    ,1 Capsule,Vit E-400 mg,10 Capsule,10.98,1.1
965,2,Glaxo Smithkline Pharmaceuticals Ltd.,Viteolin (400 mg),Capsule    ,1 Capsule,Vit E-400 mg,30 Capsule,36.18,1.21
966,3,Dr Reddy Laboratories Ltd,Bio E (400 mg),Capsule    ,1 Capsule,Vit E-400 mg,10 Capsule,13.21,1.32
967,4,Generic (Cadila Pharmaceuticals Ltd.),EEE (400 mg),Capsule    ,1 Capsule,Vit E-400 mg,10 Capsule,16.94,1.69
968,5,Merck (India) Ltd (Merck Ltd),Evion (400 mg),Capsule    ,1 Capsule,Vit E-400 mg,10 Capsule,17,1.7
969,6,Glenmark Pharmaceuticals Ltd.,E Cap (400 mg),Capsule    ,1 Capsule,Vit E-400 mg,10 Capsule,17.3,1.73
970,7,Ind-Swift Limited,Evitop (400 mg),Capsule    ,1 Capsule,Vit E-400 mg,10 Capsule,19,1.9
971,8,Cipla Limited,Evitam Sg (400 mg),Capsule    ,1 Capsule,Vit E-400 mg,10 Capsule,19.04,1.9
972,9,USV Limited.,E Toplex (400 mg),Capsule    ,1 Capsule,Vit E-400 mg,10 Capsule,20.77,2.08
973,10,USV-Corvette (US Vitamins Ltd),Etoplex (400 mg),Capsule    ,1 Capsule,Vit E-400 mg,10 Capsule,20.77,2.08
974,11,Abbott Healthcare Pvt Ltd (AHPL),Ephynal (400 mg),Capsule    ,1 Capsule,Vit E-400 mg,10 Capsule,22.11,2.21
975,12,Alidac Genetics & Pharmaceuticals,Vit E (400 mg),Capsule    ,1 Capsule,Tocopheryl Acetate-400 mg,10 Capsule,22.11,2.21
976,13,Ben Pharmaceuticals,Benvite (400 mg),Capsule    ,1 Capsule,Vit E-400 mg,10 Capsule,32,3.2
977,14,Royal Labs,Erovit (400 mg),Capsule    ,1 Capsule,Vit E-400 mg,10 Capsule,33.65,3.37
978,15,East African (India) Overseas,Vitriv E (400 mg),Capsule    ,1 Capsule,Vit E-400 mg,10 Capsule,39,3.9
979,16,Abbott India Ltd.,Evit SG (400 mg),Capsule    ,1 Capsule,Vit E-400 mg,10 Capsule,59,5.9
